1,"bicycling, mountain, uphill, vigorous",14,2014-01-30,2014-01-30
2,"bicycling, mountain, competitive, racing",16,2014-01-30,2014-01-30
3,"bicycling, BMX",8.5,2014-01-30,2014-01-30
4,"bicycling, mountain, general",8.5,2014-01-30,2014-01-30
5,"bicycling, <10 mph, leisure, to work or for pleasure (Taylor Code 115)",4,2014-01-30,2014-01-30
6,"bicycling, to/from work, self selected pace",6.8,2014-01-30,2014-01-30
7,"bicycling, on dirt or farm road, moderate pace",5.8,2014-01-30,2014-01-30
8,"bicycling, general",7.5,2014-01-30,2014-01-30
9,"bicycling, leisure, 5.5 mph",3.5,2014-01-30,2014-01-30
10,"bicycling, leisure, 9.4 mph",5.8,2014-01-30,2014-01-30
11,"bicycling, 10-11.9 mph, leisure, slow, light effort",6.8,2014-01-30,2014-01-30
12,"bicycling, 12-13.9 mph, leisure, moderate effort",8,2014-01-30,2014-01-30
13,"bicycling, 14-15.9 mph, racing or leisure, fast, vigorous effort",10,2014-01-30,2014-01-30
14,"bicycling, 16-19 mph, racing/not drafting or > 19 mph drafting, very fast, racing general",12,2014-01-30,2014-01-30
15,"bicycling, > 20 mph, racing, not drafting",15.8,2014-01-30,2014-01-30
16,"bicycling, 12 mph, seated, hands on brake hoods or bar drops, 80 rpm",8.5,2014-01-30,2014-01-30
17,"bicycling, 12 mph, standing, hands on brake hoods, 60 rpm",9,2014-01-30,2014-01-30
18,"bicycling, stationary, general",7,2014-01-30,2014-01-30
19,"bicycling, stationary, 30-50 watts, very light to light effort",3.5,2014-01-30,2014-01-30
20,"bicycling, stationary, 90-100 watts, moderate to vigorous effort",6.8,2014-01-30,2014-01-30
21,"bicycling, stationary, 101-160 watts, vigorous effort",8.8,2014-01-30,2014-01-30
22,"bicycling, stationary, 161-200 watts, vigorous effort",11,2014-01-30,2014-01-30
23,"bicycling, stationary, 201-270 watts, very vigorous effort",14,2014-01-30,2014-01-30
24,"bicycling, stationary, 51-89 watts, light-to-moderate effort¾",4.8,2014-01-30,2014-01-30
25,"bicycling, stationary, RPM/Spin bike class¾",8.5,2014-01-30,2014-01-30
26,"calisthenics (e.g., push ups, sit ups, pull-ups, jumping jacks), vigorous effort",8,2014-01-30,2014-01-30
27,"calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort",3.8,2014-01-30,2014-01-30
